id,greek,english,russian,level,group,type,example
86,η ανάγκη,"need, necessity","нужда, необходимость",A2,feelings,noun,Έχω ανάγκη από ξεκούραση μετά από τη δουλειά.
87,αναγνωρίζω,to recognize,узнавать,A2,verbs,verb,Αναγνώρισα τον παλιό φίλο μου στη φωτογραφία.
88,η ανάγνωση,reading,чтение,A2,school,noun,Η ανάγνωση βελτιώνει τη γλώσσα μας.
89,ανακατεύω,"to mix, to blend",смешивать,A2,verbs,verb,Ανακατεύω τα υλικά για την τούρτα.
90,η ανάληψη,withdrawal,снятие,A2,descriptions,noun,Έκανα ανάληψη χρημάτων από το ΑΤΜ.
91,ανάμεσα,between,между,A2,space,preposition,Το σπίτι είναι ανάμεσα στα δέντρα.
92,αναπνέω,to breathe,дышать,A2,verbs,verb,Αναπνέω βαθιά για να ηρεμήσω.
93,ο αναπτήρας,lighter,зажигалка,A2,objects,noun,Έχεις αναπτήρα να μου δανείσεις;
94,η ανάσα,breath,дыхание,A2,objects,noun,Πήρα μια βαθιά ανάσα πριν αρχίσω να μιλώ.
95,η Αναστασία,Anastasia,Анастасия,A2,names,noun,Η Αναστασία είναι η ξαδερφή μου.
96,αναφέρω,"to refer, to mention","упоминать, сообщать",A2,verbs,verb,Ο δάσκαλος ανέφερε ένα σημαντικό γεγονός.
97,η Ανδριανούπολη,Andrianoupoli,Андриануполи,A2,geography,noun,Η Ανδριανούπολη είναι μια ιστορική πόλη της Θράκης.
98,ανεβαίνω,"to climb, to get on","подниматься, садиться",A2,verbs,verb,Ανεβαίνω τα σκαλιά στον τρίτο όροφο.
99,ανεξάρτητος,independent,независимый,A2,concepts,adjective,Το παιδί γίνεται όλο και πιο ανεξάρτητο.
100,άνεργος,unemployed,безработный,A2,society,adjective,Είναι άνεργος εδώ και τρεις μήνες.
101,ο Ανέστης,Anestis,Анестис,A2,names,noun,Ο Ανέστης δουλεύει σε βιομηχανία στη Θεσσαλονίκη.
102,το άνθος,"flower, blossom","цветок, цветение",A2,weather,noun,Τα άνθη στον κήπο μοσχοβολούν την άνοιξη.
103,ο άνθρωπος,"man, human being",человек,A2,people,noun,Κάθε άνθρωπος έχει τις δυνατότητές του.
104,ανθρώπινος,human,человеческий,A2,people,adjective,Η ανθρώπινη επαφή είναι πολύ σημαντική.
105,η Άννα,Anna,Анна,A2,names,noun,Η Άννα μαγειρεύει πολύ ωραία.
106,ανοίγω,to open,открывать,A2,verbs,verb,Ανοίγω το παράθυρο για να μπει φρέσκος αέρας.
107,η άνοιξη,spring,весна,A2,weather,noun,Την άνοιξη ανθίζουν τα λουλούδια παντού.
108,ανοιχτά,open,открытый,A2,objects,adjective,Το καφέ είναι ανοιχτά και το Σαββατοκύριακο.
109,ο ανταγωνισμός,"contest, competition","конкурс, конкуренция",A2,concepts,noun,Υπάρχει μεγάλος ανταγωνισμός μεταξύ των εταιρειών.
110,η Αντιγόνη,Antigone,Антигона,A2,names,noun,Η Αντιγόνη σπουδάζει φιλολογία στο πανεπιστήμιο.
111,αντίθετος,opposite,противоположный,A2,space,adjective,Η γνώμη μου είναι αντίθετη από τη δική σου.
112,αντικαθιστώ,to replace,заменять,A2,verbs,verb,Αντικαθιστώ την παλιά λάμπα με μια νέα.
113,το αντικείμενο,object,объект,A2,objects,noun,Βρήκα ένα παράξενο αντικείμενο στο δρόμο.
114,το αντίο,goodbye,прощай,A2,basics,noun,Είπαμε αντίο στους φίλους μας στο αεροδρόμιο.
115,αντιστοιχίζω,to match,соответствовать,A2,verbs,verb,Αντιστοιχίζω τις λέξεις με τις εικόνες στην άσκηση.
116,αντίστοιχος,"corresponding, equivalent","соответствующий, эквивалентный",A2,descriptions,adjective,Κάθε ερώτηση έχει τον αντίστοιχο αριθμό.
117,το αντίτυπο,copy,копия,A2,objects,noun,Πήρα ένα αντίτυπο του βιβλίου από τη βιβλιοθήκη.
118,ο άντρας,man,мужчина,A2,people,noun,Ο άντρας μου είναι μηχανικός.
119,ο Αντρέας,Andrew,Андреас,A2,names,noun,Ο Αντρέας έχει ένα μικρό καφέ στην παραλία.
120,αντρικός,"male, man's",мужской,A2,people,adjective,Αγόρασα ένα αντρικό μπουφάν για τον αδερφό μου.
121,ο Αντώνης,Anthony,Антонис,A2,names,noun,Ο Αντώνης είναι ο καπετάνιος της ομάδας.
122,ο αόριστος,past tense,прошлое время,A2,time,noun,Ο αόριστος δηλώνει ολοκληρωμένη πράξη στο παρελθόν.
123,η απάντηση,"answer, response",ответ,A2,communication,noun,Δεν έχω λάβει απάντηση στο email μου.
124,απαντώ,"to answer, to respond",отвечать,A2,verbs,verb,Απαντώ στα μηνύματά μου κάθε πρωί.
125,απαραίτητος,necessary,необходимый,A2,feelings,adjective,Η βίζα είναι απαραίτητη για αυτό το ταξίδι.
126,απέναντι,opposite,напротив,A2,space,preposition,Το καφέ είναι απέναντι από την τράπεζα.
128,απλά,simply,просто,A2,descriptions,adverb,"Μίλα απλά, δεν σε καταλαβαίνω."
128,απλά,simply,просто,A2,descriptions,adverb,"Μίλα απλά, δεν σε καταλαβαίνω."
129,απλός,simple,простой,A2,feelings,adjective,Θέλω ένα απλό φαγητό για βραδινό.
130,από,"from, since","из, от, с",A2,basics,preposition,Είμαι από την Κύπρο.
131,το απόγευμα,"afternoon, evening",после обеда,A2,time,noun,Βλεπόμαστε το απόγευμα στο καφέ.
132,ο αποδέκτης,"recipient, receiver","получатель, приемник",A2,concepts,noun,Ο αποδέκτης του δέματος δεν ήταν σπίτι.
133,η αποδοχή,acceptance,принятие,A2,concepts,noun,Η αποδοχή της πρότασης εργασίας ήρθε γρήγορα.
134,η απόσταση,distance,расстояние,A2,space,noun,Η απόσταση από Αθήνα σε Θεσσαλονίκη είναι 500 χλμ.
135,το αποτέλεσμα,result,результат,A2,objects,noun,Τα αποτελέσματα των εξετάσεων ήταν πολύ καλά.
136,η απόφαση,decision,решение,A2,concepts,noun,Πήρα μια σημαντική απόφαση για τη δουλειά μου.
137,αποφασίζω,to decide,решать,A2,verbs,verb,Αποφασίζω τι θα φάω για μεσημεριανό.
138,αποφεύγω,to avoid,избегать,A2,verbs,verb,Αποφεύγω το γλυκό γιατί είμαι σε δίαιτα.
139,ο απόφοιτος,graduate,выпускник,A2,objects,noun,Ο απόφοιτος αναζητά εργασία στον τομέα του.
140,ο απρίλιος,April,апрель,A2,time,noun,Τον Απρίλιο κάνουμε συνήθως Πάσχα.
141,η Αραβία,Saudi Arabia,Саудовская Аравия,A2,countries,noun,Η Αραβία είναι γνωστή για τα αποθέματα πετρελαίου της.
142,ο αρακάς,pea,горох,A2,food,noun,Μαγείρεψα κοτόπουλο με αρακά για μεσημέρι.
144,αργώ,to be late,опаздывать,A2,verbs,verb,"Συγγνώμη που άργησα, ήταν κίνηση."
144,αργώ,to be late,опаздывать,A2,verbs,verb,"Συγγνώμη που άργησα, ήταν κίνηση."
145,αρέσει,to like,нравиться,A2,verbs,verb,Μου αρέσει πολύ ο ελληνικός καφές.
146,το άρθρο,article,статья,A2,communication,noun,Διάβασα ένα ενδιαφέρον άρθρο στην εφημερίδα.
147,ο αριθμός,number,номер,A2,time,noun,Ποιος είναι ο αριθμός του τηλεφώνου σου;
148,αριστερά,on the left,слева,A2,space,adverb,Στρίψε αριστερά στο φανάρι.
149,αριστερός,left,левый,A2,space,adjective,Έσπασα το αριστερό μου χέρι.
150,άριστος,"best, excellent","лучший, отличный",A2,feelings,adjective,Πήρε άριστα στις εξετάσεις αυτού του εξαμήνου.
151,αρκετός,enough,достаточно,A2,objects,adjective,Έχω αρκετό χρόνο για αυτή τη δουλειά.
152,η Αρκτική,Arctic,Арктика,A2,countries,noun,Η Αρκτική έχει πολύ σκληρό χειμώνα.
153,αρκώ,"to suffice, to be enough","хватать, быть достаточным",A2,verbs,verb,Αυτά τα λεφτά δεν αρκούν για το ενοίκιο.
154,η Αρμενία,Armenia,Армения,A2,countries,noun,Η Αρμενία γειτονεύει με την Τουρκία και τη Γεωργία.
155,τα αρμενικά,Armenian language,армянский язык,A2,countries,noun,Ο φίλος μου μαθαίνει αρμενικά για τη δουλειά του.
156,αρμενικός,Armenian,армянский,A2,countries,adjective,Δοκίμασα παραδοσιακό αρμενικό φαγητό.
157,ο αρμένιος,Armenian person,армянин,A2,countries,noun,Ο αρμένιος φίλος μου μαγειρεύει πολύ ωραία.
158,αρνούμαι,"to say no, to refuse","сказать нет, отказываться",A2,verbs,verb,Αρνούμαι να πάω στο πάρτι χθες.
159,αρρωσταίνω,to get sick,заболевать,A2,verbs,verb,Αρρωσταίνω κάθε χειμώνα από το κρύο.
160,η αρρώστια,"sickness, illness",болезнь,A2,health,noun,Η αρρώστια τον κράτησε στο σπίτι μια εβδομάδα.
161,άρρωστος,"sick, ill",больной,A2,body,adjective,Ο φίλος μου είναι άρρωστος και ξεκουράζεται στο σπίτι.
162,αρσενικός,masculine,мужской,A2,space,adjective,Η λέξη «ουρανός» είναι αρσενικού γένους.
163,η αρχή,"beginning, start",начало,A2,nature,noun,Η αρχή του βιβλίου είναι πολύ ενδιαφέρουσα.
164,αρχίζω,"to begin, to start",начинать,A2,verbs,verb,Αρχίζω τη δουλειά μου στις εννιά το πρωί.
165,το ασανσέρ,"lift, elevator",лифт,A2,home,noun,Παίρνω το ασανσέρ για τον πέμπτο όροφο.
166,ο/η ασθενής,patient,пациент,A2,health,noun,Ο ασθενής ξεκουράζεται στο νοσοκομείο.
167,η Ασία,Asia,Азия,A2,countries,noun,Η Ιαπωνία και η Κίνα βρίσκονται στην Ασία.
168,η άσκηση,"task, exercise","задача, упражнение",A2,school,noun,Έκανα όλες τις ασκήσεις για αύριο.
169,η ασπιρίνη,aspirin,аспирин,A2,health,noun,Πήρα μια ασπιρίνη για τον πονοκέφαλο.
170,άσπρος,white,белый,A2,colors,adjective,Αγόρασα μια άσπρη μπλούζα για το καλοκαίρι.
171,η αστυνομία,police,полиция,A2,society,noun,Κάλεσα την αστυνομία μετά την κλοπή.
173,άσχημα,badly,плохо,A2,descriptions,adverb,"Αισθάνομαι άσχημα σήμερα, πονάει το κεφάλι μου."
173,άσχημα,badly,плохо,A2,descriptions,adverb,"Αισθάνομαι άσχημα σήμερα, πονάει το κεφάλι μου."
174,άσχημος,ugly,уродливый,A2,feelings,adjective,Αυτό το παλιό κτήριο είναι πολύ άσχημο.
175,η ασχολία,occupation,занятие,A2,space,noun,Η αγαπημένη μου ασχολία είναι η ανάγνωση βιβλίων.
176,η ατζέντα,"agenda, datebook","повестка дня, ежедневник",A2,concepts,noun,Έγραψα το ραντεβού στην ατζέντα μου.
177,το άτομο,person,человек,A2,people,noun,Κάθε άτομο έχει δικαίωμα στη γνώμη του.
178,το ατύχημα,accident,несчастный случай,A2,descriptions,noun,Έγινε ατύχημα στον αυτοκινητόδρομο σήμερα.
179,ο αύγουστος,August,август,A2,time,noun,Τον Αύγουστο πάμε πάντα στη θάλασσα.
180,αυθόρμητος,spontaneous,спонтанный,A2,descriptions,adjective,Είναι αυθόρμητος και κάνει αυτό που αισθάνεται.
181,η αυλή,yard,двор,A2,home,noun,Τα παιδιά παίζουν στην αυλή του σχολείου.
182,η αϋπνία,insomnia,бессонница,A2,health,noun,Έχω αϋπνία και δεν κοιμάμαι καλά τελευταία.
183,το αύριο,tomorrow,завтра,A2,time,noun,Δεν ξέρουμε τι μας επιφυλάσσει το αύριο.
184,η Αυστραλία,Australia,Австралия,A2,countries,noun,Η Αυστραλία είναι πολύ μακριά από την Ελλάδα.
185,ο αυστραλός,Australian,австралиец,A2,countries,noun,Ο αυστραλός φίλος μου ζει στο Σίδνεϊ.
186,αυστραλιανός,Australian,австралийский,A2,countries,adjective,Δοκίμασα αυστραλιανό κρασί και ήταν πολύ ωραίο.
187,η Αυστρία,Austria,Австрия,A2,countries,noun,Η Αυστρία είναι γνωστή για τη μουσική και τα κάστρα της.
188,αυστριακός,Austrian,Австрийский,A2,countries,adjective,Δοκίμασα αυστριακά γλυκά στη Βιέννη.
189,αυστριακός,Austrian,Австрийский,A2,countries,adjective,Ο αυστριακός πολιτισμός είναι πλούσιος και ιδιαίτερος.
190,το αυτί,ear,ухо,A2,body,noun,Με πονάει το αυτί μου από χθες.
191,το αυτοκίνητο,car,автомобиль,A2,city,noun,Πήγα στη δουλειά με το αυτοκίνητο.
192,αυτός,he,он,A2,basics,pronoun,Αυτός είναι ο καλύτερος φίλος μου.
193,το αφεντικό,boss,босс,A2,school,noun,Το αφεντικό μου είναι πολύ απαιτητικό.
194,αφήνω,"to leave, to let","оставлять, позволять",A2,verbs,verb,Αφήνω τα κλειδιά μου πάντα στο τραπέζι.
195,η αφίσα,poster,плакат,A2,communication,noun,Κόλλησα μια αφίσα στον τοίχο του δωματίου μου.
196,αφού,after,после,A2,basics,conjunction,"Αφού τελείωσες, έλα εδώ."
197,αφρικανικός,African,африканский,A2,countries,adjective,Άκουσα αφρικανική μουσική σε μια συναυλία.
198,ο αφρικανός,African person,африканец,A2,countries,noun,Ένας αφρικανός φοιτητής σπουδάζει μαζί μου.
199,η Αφρική,Africa,Африка,A2,countries,noun,Η Αφρική έχει πολλές διαφορετικές χώρες και κουλτούρες.
200,ο Ανδρέας,Andrew,Андреас,A2,names,noun,Ο Ανδρέας μένει στη Θεσσαλονίκη και δουλεύει ως δάσκαλος.
201,ο Απόστολος,Apostolos,Апостолос,A2,names,noun,Ο Απόστολος εργάζεται ως μηχανικός.
202,το Αργοστόλι,Argostoli,Аргостоли,A2,geography,noun,Το Αργοστόλι είναι η πρωτεύουσα της Κεφαλονιάς.
203,βάζω,to put,"класть, ставить",A2,verbs,verb,Βάζω τα βιβλία μου στη βαλίτσα.
204,το βάζο,vase,ваза,A2,home,noun,Έβαλα τα λουλούδια στο βάζο με νερό.
205,βαθιά,deeply,глубоко,A2,descriptions,adverb,Κοιμάμαι βαθιά κάθε βράδυ.
206,ο βαθμός,grade,класс,A2,school,noun,Πήρα καλό βαθμό στις εξετάσεις.
207,βαθύς,deep,глубокий,A2,objects,adjective,Η θάλασσα είναι πολύ βαθιά σε αυτό το σημείο.
208,η βαλίτσα,suitcase,чемодан,A2,city,noun,Έπακα τη βαλίτσα μου για το ταξίδι.
209,ο βάλτος,"swamp, marsh",болото,A2,nature,noun,Υπάρχει ένας βάλτος κοντά στο χωριό μας.
210,το βαπόρι,boat,лодка,A2,city,noun,Πήγαμε με βαπόρι στο νησί.
211,βαριά,heavily,тяжело,A2,descriptions,adverb,Η βροχή πέφτει βαριά σήμερα.
212,βαρύς,heavy,тяжелый,A2,objects,adjective,Η βαλίτσα μου είναι πολύ βαριά.
213,το βάρος,weight,вес,A2,objects,noun,Χάνω βάρος με αθλητισμό και σωστή διατροφή.
214,η βάση,base,основание,A2,objects,noun,Η βάση του τραπεζιού είναι ξύλινη.
215,βασικός,basic,базовый,A2,descriptions,adjective,Η αγγλική γλώσσα είναι βασική στη σύγχρονη εργασία.
216,ο Βασίλης,Vassilis,Василис,A2,names,noun,Ο Βασίλης εργάζεται ως αρχιτέκτονας.
217,η Βασιλική,Vassiliki,Василики,A2,names,noun,Η Βασιλική είναι η καλύτερη συνάδελφός μου.
218,η βασιλόπιτα,vasilopita,василопита,A2,objects,noun,Κόβουμε τη βασιλόπιτα κάθε χρόνο την Πρωτοχρονιά.
219,η Βάσω,Vasso,Вассо,A2,names,noun,Η Βάσω δουλεύει ως νοσοκόμα στο νοσοκομείο.
220,βάφω,to paint,"красить, окрашивать",A2,verbs,verb,Βάφω τους τοίχους του σαλονιού άσπρους.
221,βγάζω,"to take out, to take off","выносить, снимать",A2,verbs,verb,Βγάζω τα παπούτσια μου στην πόρτα.
222,βγαίνω,to get out,выходить,A2,verbs,verb,Βγαίνω με φίλους κάθε Παρασκευή βράδυ.
223,η εβδομάδα,week,неделя,A2,time,noun,Δουλεύω πέντε μέρες την εβδομάδα.
224,βέβαια,"of course, certainly","конечно, безусловно",A2,school,adverb,Βέβαια θα έρθω στο πάρτι σου!
226,βελγικός,Belgian,бельγийский,A2,countries,adjective,"Δοκίμασα βελγική σοκολάτα, ήταν υπέροχη."
226,βελγικός,Belgian,бельгийский,A2,countries,adjective,"Δοκίμασα βελγική σοκολάτα, ήταν υπέροχη."
227,ο βέλγος,Belgian person,бельгиец,A2,countries,noun,Ένας βέλγος φίλος μου ζει στις Βρυξέλλες.
228,το Βελιγράδι,Belgrade,Белград,A2,countries,noun,Το Βελιγράδι είναι η πρωτεύουσα της Σερβίας.
229,βελούδινος,velvet,бархатный,A2,objects,adjective,Αγόρασα βελούδινη κουρτίνα για το σαλόνι.
230,η Βενεζουέλα,Venezuela,Венесуэла,A2,countries,noun,Η Βενεζουέλα είναι χώρα της Νότιας Αμερικής.
231,το βενζινάδικο,gas station,заправочная станция,A2,city,noun,Σταμάτησα στο βενζινάδικο να βάλω βενζίνη.
232,το βερίκοκο,apricot,абрикос,A2,food,noun,Τρώω φρέσκα βερίκοκα κάθε καλοκαίρι.
233,το Βερολίνο,Berlin,Берлин,A2,countries,noun,Το Βερολίνο είναι η πρωτεύουσα της Γερμανίας.
234,το βήμα,step,шаг,A2,objects,noun,Κάθε μεγάλο ταξίδι ξεκινά με ένα μικρό βήμα.
235,ο βήχας,cough,кашель,A2,health,noun,Έχω βήχα από χθες και πήρα φάρμακο.
236,βήχω,to cough,кашлять,A2,verbs,verb,Βήχω συνέχεια λόγω κρυολογήματος.
237,το βιβλίο,book,книга,A2,school,noun,Διαβάζω ένα ενδιαφέρον βιβλίο αυτές τις μέρες.
238,το βιβλιάριο,booklet,буклет,A2,communication,noun,Πήγα στο νοσοκομείο με το ασφαλιστικό βιβλιάριό μου.
239,η βιβλιοθήκη,library,библиотека,A2,school,noun,Πηγαίνω στη βιβλιοθήκη κάθε εβδομάδα.
240,η Βιέννη,Vienna,Вена,A2,countries,noun,Η Βιέννη είναι γνωστή για την κλασική μουσική.
